"","First.Name","Last.Name","Age","Rank","Classification","Date.of.Incident","Date.of.Death","Cause.Of.Death","Nature.Of.Death","Duty","Activity","Emergency","Property.Type","Year"
"93","Phillip","Smith",49,"Driver/Operator Engineer","Career","Nov 16, 2000","Nov 16, 2000","Stress/Overexertion","Heart Attack","Training","Advance Hose Lines/Fire Attack","No","Outdoor Property"," 2000"
"94","Kyle","Hendrick",19,"Firefighter","Volunteer","Nov 16, 2000","Nov 16, 2000","Impact","Trauma","Training","Vehicle Driver","No","Street/Road"," 2000"
"95","Thomas","Hazaz",69,"Fire-Police Lieutenant","Volunteer","Nov 17, 2000","Nov 17, 2000","Stress/Overexertion","Heart Attack","On-Scene Emergency","Other","Yes","Street/Road"," 2000"
"96","Marvin","Bartholemew",30,"Firefighter II","Career","Nov 25, 2000","Nov 25, 2000","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2000"
"97","Daniel","King",21,"Firefighter","Volunteer","Nov 26, 2000","Nov 26, 2000","Impact","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2000"
"98","Elwood","Queen",67,"Firefighter","Volunteer","Nov 29, 2000","Nov 30, 2000","Stress/Overexertion","Heart Attack","On-Scene Emergency","Vehicle Driver","Yes","Street/Road"," 2000"
"99","George","Cardozo",80,"Firefighter","Volunteer","Dec 1, 2000","Dec 1, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Support","Yes","Residential","2000"
"100","Edward","Russ",39,"Firefighter","Volunteer","Dec 11, 2000","Dec 11, 2000","Impact","Trauma","On-Scene Emergency","Other","Yes","Street/Road"," 2000"
"101","Keith","Purcell",47,"Firefighter","Volunteer","Dec 17, 2000","Dec 17, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"102","Scott","Gillen",37,"Lieutenant","Career","Dec 23, 2000","Dec 23, 2000","Impact","Trauma","On-Scene Emergency","Other","Yes","Street/Road"," 2000"
"103","David","Anderson",43,"Firefighter","Career","Dec 23, 2000","Dec 23, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"104","Charles","Lauber, Jr.",55,"Commissioner","Volunteer","Dec 17, 2000","Dec 24, 2000","Fall","Trauma","On-Duty","In-Station Duties","No","N/A"," 2000"
"105","Gregg","McLoughlin",39,"Firefighter 1st Grade","Career","Jan 4, 2001","Jan 4, 2001","Stress/Overexertion","Heart Attack","Training","In-Station Duties","No","N/A","2001"
"106","Gilmore ","Stitley III",54,"Firefighter","Volunteer","Jan 10, 2001","Jan 10, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Support","Yes","Outdoor Property"," 2001"
"107","Richard","Buongiorne",48,"Firefighter","Volunteer","Jan 9, 2001","Jan 10, 2001","Impact","Trauma","On-Scene Emergency","Other","Yes","Street/Road"," 2001"
"108","Andrew","White",27,"Lieutenant","Volunteer","Jan 11, 2001","Jan 11, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"109","William","Thompson",21,"Firefighter","Volunteer","Jan 12, 2001","Jan 12, 2001","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2001"
"110","Donald","Franklin",42,"Firefighter 1st Grade","Career","Jan 13, 2001","Jan 13, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Ventilation","Yes","Residential"," 2001"
"111","Christopher","Towne",52,"Lieutenant","Career","Jan 18, 2001","Jan 18, 2001","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"112","James","Haigler",44,"Driver / Operator","Career","Jan 19, 2001","Jan 19, 2001","","Heart Attack","On-Duty","Other","No","N/A"," 2001"
"113","Johnny","McKinley",54,"Firefighter","Volunteer","Jan 25, 2001","Jan 25, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Vacant Property"," 2001"
"114","Cecil","Smith",76,"Firefighter","Volunteer","Jan 27, 2001","Jan 28, 2001","Impact","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2001"
"115","Mathew","Smith",33,"Firefighter","Career","Feb 5, 2001","Feb 5, 2001","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Store/Office","2001"
"116","Ray","Lloyd",65,"Firefighter","Volunteer","Feb 7, 2001","Feb 7, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Vehicle Driver","Yes","Residential","2001"
"117","Clint","Talley",27,"Lieutenant/EMT","Volunteer","Feb 17, 2001","Feb 17, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"118","Michael","McKean",32,"Firefighter","Volunteer","Feb 17, 2001","Feb 17, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"119","Barry","Wollman",53,"Firefighter","Career","Feb 18, 2001","Feb 18, 2001","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Store/Office"," 2001"
"120","Donald","Nester",56,"Chief Engineer","Volunteer","Feb 18, 2001","Feb 19, 2001","Fall","Trauma","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"121","James","Isberner",60,"Firefighter","Volunteer","Feb 12, 2001","Feb 19, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"122","Lloyd","Curtis",75,"Fire Police Officer","Volunteer","Feb 19, 2001","Feb 19, 2001","Stress/Overexertion","Heart Attack","Response","Vehicle Passenger","Yes","Street/Road"," 2001"
"123","Dana","Johnson",46,"Assistant Chief","Paid-on-Call","Feb 25, 2001","Feb 26, 2001","Trapped","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Institutional"," 2001"
"124","Christopher","Kobierowski",41,"Assistant Chief","Volunteer","Mar 6, 2001","Mar 6, 2001","Impact","Trauma","Response","Vehicle Driver","Yes","Residential","2001"
"125","Gerald","Fields",53,"Driver/Engineer","Career","Mar 10, 2001","Mar 10, 2001","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"126","Bret","Tarver",40,"Firefighter/Paramedic","Career","Mar 14, 2001","Mar 14, 2001","Trapped","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2001"
"127","Dan","Hupe",54,"Firefighter","Career","Mar 14, 2001","Mar 14, 2001","Stress/Overexertion","Heart Attack","On-Duty","Support","No","Store/Office"," 2001"
"128","William","James",65,"Firefighter","Volunteer","Mar 11, 2001","Mar 14, 2001","Stress/Overexertion","Heart Attack","Training","Other","No","N/A"," 2001"
"129","Robert ","Winner",54,"Firefighter","Volunteer","Mar 16, 2001","Mar 16, 2001","Stress/Overexertion","Heart Attack","On-Scene Fire","Water Supply","Yes","Residential"," 2001"
"130","Jay","Shaffer",47,"Captain","Volunteer","Mar 17, 2001","Mar 17, 2001","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Outdoor Property"," 2001"
"131","Earl","Whitby",39,"Engineer","Volunteer","Mar 18, 2001","Mar 18, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"132","Jonathon","Mullaney",36,"Lieutenant","Volunteer","Mar 18, 2001","Mar 18, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"133","William","Ellison III",38,"Firefighter","Career","Mar 8, 2001","Mar 20, 2001","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2001"
"134","Arthur","Griffiths Sr.",65,"Captain of Fire Police","Volunteer","Mar 20, 2001","Mar 20, 2001","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"135","James","Heenan",37,"Firefighter","Volunteer","Jan 1, 2001","Mar 25, 2001","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2001"
"136","Dale","Simpson",38,"Firefighter","Volunteer","Apr 2, 2001","Apr 2, 2001","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Storage","2001"
"137","Thomas","Paz",52,"Engineer","Career","Apr 2, 2001","Apr 2, 2001","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office","2001"
"138","Scott","Wilson",25,"Firefighter/Paramedic","Volunteer","Apr 8, 2001","Apr 8, 2001","Trapped","Suffocation","On-Scene Emergency","Search and Rescue","Yes","Outdoor Property","2001"
"139","Anthony","Murdick",25,"Assistant Chief","Volunteer","Apr 8, 2001","Apr 8, 2001","Trapped","Suffocation","On-Scene Emergency","Search and Rescue","Yes","Outdoor Property","2001"
"140","Brian","Richter",34,"Firefighter","Volunteer","Apr 8, 2001","Apr 8, 2001","Impact","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2001"
"141","Richard","Canouse",69,"Firefighter/Fire Police","Volunteer","Apr 9, 2001","Apr 9, 2001","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Residential","2001"
"142","Brian","Reed",39,"Firefighter II","Career","Apr 10, 2001","Apr 10, 2001","Fall","Electrocution","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"143","Woodrow","Poland Sr.",72,"Firefighter-President","Volunteer","Apr 19, 2001","Apr 19, 2001","Fall","Trauma","On-Duty","Other","No","Store/Office"," 2001"
"144","James","Rupkey",58,"Lieutenant","Volunteer","Apr 23, 2001","Apr 23, 2001","Stress/Overexertion","Heart Attack","Training","Search and Rescue","No","Store/Office"," 2001"
"145","Alberto","Tirado",40,"Firefighter","Career","May 9, 2001","May 9, 2001","Trapped","Suffocation","On-Scene Fire","Search and Rescue","Yes","Residential","2001"
"146","Willard","Christoffer",54,"Probationary Firefighter","Career","May 14, 2001","May 14, 2001","Fall","Trauma","Training","Other","No","Outdoor Property"," 2001"
"147","Ritchie","Eutsler",30,"Captain","Career","May 16, 2001","May 16, 2001","","Stroke","On-Duty","In-Station Duties","No","Store/Office"," 2001"
"148","Lawrence","Webb",36,"Firefighter","Career","May 22, 2001","May 22, 2001","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2001"
"149","Donald","Souza",59,"Captain","Career","Dec 23, 1995","May 30, 2001","","Electrocution","On-Scene Fire","Search and Rescue","Yes","Residential"," 2001"
"150","Travis","Brown",30,"Firefighter","Volunteer","Jun 2, 2001","Jun 2, 2001","Impact","Trauma","Response","Vehicle Passenger","Yes","Street/Road","2001"
"151","Willard","Paul",64,"Firefighter","Volunteer","Jun 2, 2001","Jun 2, 2001","Stress/Overexertion","Trauma","On-Duty","Other","No","Public Assembly","2001"
"152","Carl","Cook, Sr.",55,"Captain","Career","Jun 15, 2001","Jun 15, 2001","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Store/Office"," 2001"
